,city,country,walkability_score,has_crossfit,crossfit_gyms
0,Paris,FR,100,True,"['CrossFit Louvre 3', 'Crossfit Louvre', 'CrossFit Original Addicts', 'CrossFit Lutèce', 'CrossFit Rebirth', 'CrossFit Lutèce II', 'CrossFit', 'CrossFit Nakama', 'Crossfit Rive Gauche', 'HEGO CrossFit Batignolles', 'R2 Training Bastille CrossFit', 'CrossFit Les Enfants de la Barre', 'Silvaticus Crossfit', 'CrossFit Wonders', 'CrossFit Rive Gauche', 'Escale CrossFit', 'The Training Factory', 'Rurôni CrossFit', 'INVEST CROSS', 'CrossFit Gavroche Paris']"
1,Madrid,ES,100,True,"['CrossFit db', 'Crossfit 645- Tu box de Crossfit en Madrid', '555 CrossFit', 'Wild River CrossFit', 'CrossFit 78/79', 'UrbanBox CrossFit', 'CrossFit Barrio Salamanca', 'CrossFit Bernabeu', 'Shaka Crossfit', 'Crossfit Maherit Rio', 'CrossFit Gennox', 'CrossFit 4K', 'CrossFit Olavide', 'CrossFit TETUÁN', 'CrossFit Prosperidad', 'Improve CrossFit', 'Wezone CrossFit Pacífico', 'CrossFit 4K Retiro', 'Singular CrossFit Box', 'CrossFit Bellum']"
2,Lisbon,PT,99,True,"['Crossfit Avenida da República', 'CrossFit Alvalade IV', 'Off Limits CrossFit', 'CrossFit Caravelas', 'Offlimits Crossfit Benfica', 'Matchbox CrossFit', 'XXI CrossFit', 'The Bakery CrossFit', 'Crossfit outdoor Lissabon', 'Trend CrossFit & Pilates Studio', 'Crossfit Move On', 'CrossBox Restelo', 'Margem Sul Crossfit', 'IC - Personal Trainer', 'CrossFit Park of Nations', 'CrossFit Almada', 'Crossfit Algés', 'CrossFit LAV', 'CrossFit Neverland', 'CrossFit Odivelas']"
3,Bologna,IT,84,True,"['CrossFit Roveri', 'CrossFit Murri', 'Crossfit40133', 'CrossFit 2 Torri', 'Crossfit 40033', 'CrossFit NTN', 'CrossFit Bologna By Native', 'Personal Trainer Bologna - CrossFit L2 Trainer - Federico Mancini', 'Crossfit Asinelli', 'Crossfit Center', 'CFSL San Lazarro', 'Peppe Miceli - Personal Trainer - CrossFit Level 1 Trainer', 'Crossfit Zola Predosa', 'Crossfit Bullstown', 'Box Stalingrado', 'CrossFit Felsina', 'Crossfit Panigale', 'CrossFit Ozzano', 'Barbara Raco Personal Trainer Bologna', 'Barbell Club']"
4,Brussels,BE,100,True,"['CrossFit Dansaert', 'CrossFit W950', 'CrossFit Vince21', 'CrossFit The Crypt', 'CrossFit WinWin', 'CrossFit Explore', 'CrossFit Rock Revolution', 'Crossfit Power Factory', 'CrossFit Exit8', 'crossfit zaventem', 'Crossfit 6.5.8', 'Crossfit', 'Reebok CrossFit Brussels', 'APPERFORMANCE', 'Crossfit Arsenal SPRL', 'Crossfit Merchtem', 'CrossFit Lavoisier', 'LP Performance', 'Cross training Hangar 56', 'CFOTR']"
5,Cairo,EG,96,True,"['Fitarmour CrossFit', 'Engine38 Downtown', 'Crossfit', 'Crossfit Gym', 'CrossFit Pharaohs', 'CrossFit Pharaohs', '90BOX', 'Cross Fit Gym', 'CROSSFIT PHARAOHS ALMAZAH', 'Olympic Gym', 'Rock Crossfit Gym', 'Rock Crosstit Gym', 'Fit99 Crossfit', 'Crowbar', 'Crossfit x7 Plus', 'Hammer Crossfit', 'Crossfit Hitters', '90boxegypt', 'FitnessFuel59', 'Fit Factory']"
6,Istanbul,TR,99,True,"['Box216', 'Wolf Haven CrossFit', 'Jaguar fit club', 'Quick Crossfit', 'CrossFit Skylight', 'CrossFit HEX', 'CrossFit Boomerang', 'CrossFit Aspera', 'Fithunterz Personal Training Studio', 'Glyph CrossFit', 'Champions CrossFit', 'Agena CrossFit', 'Crossfit Boran', 'CrossFit 34', 'Balaban Solid Sports', 'Nişantaşı.fit Pilates Merkezi', 'Atlas Gym', 'CrossFit Bahçeşehir', 'Cadde Box', 'Atak Spor Kickboks - Crossfit - Fitness']"
7,Malaga,ES,100,True,"['CrossFit Malaga', 'Terral CrossFit Box Oficial en Málaga', 'Box FBT', 'Box 1315 CrossFit', 'Mk6Box Málaga Cross- Fitness', 'Sacaba Beach CrossFit', 'Underground Sports & Training Center', 'The Bunker Box Málaga', 'Teatinos Functional Fitness', 'Box Olimpo Málaga', 'HIFT Iron Box', 'Crossfit a medida', '0719 Animals Box', 'RANDORI BOX GUADALMAR', 'Olletas Box', 'CrossFit Playamar Torremolinos 🏻\u200d ️', 'CrossFit', 'Hybrid Center Málaga', 'BÚNKER', 'Crossfit Forging Elite Fitness']"
8,Doha,QA,77,True,"['CrossFit Haya', '1969 CrossFit', 'CrossFit T23 Qatar', 'ORX Boxing and Fitness Club', 'Live Life Qatar', 'The Street', 'Erada Fitness', 'The Zone Ultimate Fitness', 'The Box', 'Fitness Factory', 'Xfitness', '37Box (Private Training Box)', 'coreneticgymworld', 'HARDCORE GYM', 'W-FIT', 'Frontline Fitness & MMA Academy', 'Municipal outdoor gym', 'Erada Fitness Women', 'Trip Fit Gym', 'StrongBox Functional Fitness']"
9,Barcelona,ES,100,True,"['CrossFit Eixample', 'Alpha Link CrossFit', 'CrossFit LFS', 'CrossFit PobleNou', 'Max Grit CrossFit', 'CrossFit Diagonal Barcelona', 'GRIT House CrossFit 08019', 'Studio Crossfit', 'CrossFit Sants - Centro de CrossFit', 'BFactory CrossFit', 'CrossFit Les Corts', 'CrossFit sant gervasi', 'CrossFit La Fira', 'La Huella CrossFit', 'G93 CrossFit', 'Sant Andreu Crossfit', 'Condal CrossFit Gràcia', 'CrossFit Kudasai', 'Reebok CrossFit BCN', 'CROSSFIT SANT MARTI']"
10,Lyon,FR,100,True,"['CrossFit Enyeto Lyon Vaise - Gym', 'CrossFit HEKA - Lyon Part-Dieu', 'CrossFit Secteur 3', 'CrossFit Gerland', 'Crossfit des Pentes', 'Crossfit', 'CrossFit Villeurbanne', 'CrossFit Molière', 'Crossfit Croix-Rousse', 'Crossfit Brotteaux', 'Antropos CrossFit Lyon 7ème', 'Makitha CrossFit', 'Antropos CrossFit Confluence', 'Crossfit Viridius', 'CrossFit Limonest', 'CrossFit Gratte Ciel', ""CrossFit l'Étoile"", 'CrossFit des Canuts', 'Summum CrossFit Sathonay-Camp', 'Antropos CrossFit Pierre-Bénite']"
11,Dubai,AE,99,True,"['Business Bay Cross Fit', 'Strong George Performance', 'Al Quoz CrossFit', 'CrossFit Circle', 'Bodyzone Star Gym', 'CrossFit Alioth', 'Crossfit Lifespark', 'FitLifeDXB', 'Dunes Fitness Club', 'OCR Nation Gym | Yallah CrossFit', 'F45 Training Downtown Dubai', 'SafeFit - South Ridge', 'Fit Drop', 'Beach CrossFit', 'Original Fitness Company', 'MVMT CROSSFIT', 'Sands Fitness/CrossFit Oasis', 'Champions Gym', 'Warehouse Gym', 'CrossFit Hayat']"
12,Frankfurt am Main,DE,99,True,"['CrossFit Bulls and Bears - CrossFit in Frankfurt', 'FFM Crossfit', 'CrossFit 069', 'CrossFit Lex', 'CrossFit Herzschlag', 'CrossFit Circus Maximus', 'Frankfurt CrossFit', 'CrossFit Bulls and Bears - CrossFit in Frankfurt', 'CrossFit House of Pain', 'Breaking Boundaries Fitness', 'CrossFit JABAV - Neu-Isenburg', 'WAY Fitness', 'LIFTERS CrossFit Bad Vilbel', 'CrossFit Centerpiece Heusenstamm', 'CrossFit Muehlheim-Main', 'CrossFit Maki', 'CrossFit Rodgau', 'CrossFit Rüsselsheim', 'CrossFit 63 - Seligenstadt', 'CrossFit vor der Höhe']"
13,Milan,IT,100,True,"['CrossFit 97 Scalo Romana', 'CrossFit Porta Nuova', 'Crossfit Officine', 'Crossfit Porta Ticinese', 'CrossFit Avanguardia', 'CrossFit Bullams', 'CrossFit Lambrate', 'Crossfit Arctos', 'Crossfit Cenisio by Tiger Gym', 'CrossFit Full Gear San Siro', 'CrossFit Darsena', 'CrossFit M1', 'Crossfit NoLo', 'Crossfit', 'CrossFit Mediolanvm', 'Crossfit Certosa by Tiger Gym', 'CSB Fight CrossFit', 'CrossFit 97 Corvetto', 'The Rise | CrossFit San Siro', 'Crossfit dei missaglia']"
14,Amsterdam,NL,100,True,"['crossfit AKA', 'CrossFit Zeeburg', 'CrossFit Amsterdam', 'CrossFit Vastberaden', 'CrossFit Flames XL', 'SQM Gym', 'Mobilis Fitness', ""CrossFit aan 't IJ"", 'Vondelgym Oost', 'CrossFit AKA Westerpark', 'Vondelgym', 'Reebok Crossfit 020', 'Mobilis CrossFit', 'I i640GYM Home of CrossFit Amstelveen', 'CrossFit Mokum', 'crossfit 0294', 'Kracht Amsterdam', 'Muscle Church Outdoor Fitness', 'Vondelgym Zuid', 'The Powerbox']"
15,Lagos,NG,85,True,"['Crossfit Lagos', 'Crossfit Jagun', 'CrossFit']"
16,London,GB,100,True,"['CrossFit Evolving Kilburn', 'CrossFit Central London', 'CrossFit Aldgate East', 'Crossfit Aldgate', 'CrossFit Dalston', 'DISTRICT Battersea CrossFit', 'CrossFit Piccadilly', 'CrossFit Shapesmiths', 'CrossFit Bermondsey', 'Amica 365 CrossFit Shoreditch', 'Crossfit Vauxhall', 'Gymnasium Clapham | CrossFit', 'CrossFit London', 'Sleven Fitness', 'Gymnasium Brixton | CrossFit', 'Gymnasium Nine Elms | CrossFit', 'CrossFit', 'CrossFit Evolving | Holloway', 'Arc Athletics Club', 'CrossFit One More Rep']"
17,New York,US,100,True,"['CrossFit South Brooklyn', 'Park Slope CrossFit', ""CrossFit Hell's Kitchen NYC"", 'WillyB CrossFit - Bowery', 'CrossFit NYC', 'CrossFit Virtuosity', 'CrossFit East River', 'CROSSFIT FIFTH AVE', 'CrossFit Union Square', 'Dean Crossfit', 'CrossFit Hoboken', 'CrossFit Gantry', 'Union City CrossFit', 'CrossFit Wall Street', 'JCFit', 'Solace New York', '150 Bay CrossFit', 'Brazen Athletics CrossFit', 'Oculus Fitness', 'Greenpoint Athletics']"
18,Bergamo,IT,31,True,"['CrossFit Clusone', 'CrossFit Begin', '24060 CrossTraining', 'CrossFit Makhai', 'CrossFit Venkon', 'Crossfit Orobica', 'Le Mura CrossFit', 'LAB 3.0 CrossFit', 'CrossFit Concesio', 'CrossFit Lecco', 'Crossfit', 'CrossFit Adamantio', 'CrossFit Tritium', 'Crossfit Arcore', 'Crossfit ERBA', 'Seven Stars CrossFit', 'West Union CrossFit', 'CrossFit 97 Scalo Romana', 'Crossfit Officine', 'CrossFit Sesto San Giovanni']"
19,Geneva,CH,99,True,"['CrossFit Plan-Les-Ouates', 'CrossFit WaterField - Plan-les-Ouates - ZIPLO', 'CrossFit GVA 1227', 'CrossFit GVA', 'MLM CrossFit', 'CrossFit LORE', 'CBT CrossFit Belle-Terre', 'Gravity Functional', 'CrossFit Le Rouge', 'Crossfit Annemasse', 'CrossFit GO UP Carouge', 'nspitz', 'Kevin Buet, Nutritionniste - Genève', 'Crossfit Atom', 'CrossFit Feigères', 'Crossfit Haut Jura', 'CrossFit Antidote', 'La Horde CrossFit', 'Au QG - CrossFit Vétraz-Monthoux', 'CrossFit KEMP']"
20,Marseille,FR,99,True,"['CrossFit Heimdall', 'CrossFit Epsilon', 'CrossFit Phocea', 'CrossFit IKI', 'Crossfit Bouches Du Rhon', 'Crossfit 13380', 'Cross', 'WARZONE CrossFit', 'CrossFit La Valbarelle', 'Fit Factory CrossFit Massilia', 'Hiit Zone Marseille : Entrainement fonctionnel !', 'Crossfit 13380', 'CrossFit Massilia 2', 'CrossFit New Area', 'CrossFit camp Major', 'Lucas Lévy sportraining', 'CrossFit Vitrolles', 'Lim Training', 'Marseille Throwdown', 'CrossFit Aix-en-Provence']"
21,Riyadh,SA,45,True,"['Interval Plus CrossFit - Takhassusi Male & Female Branch / نادي انترفل بلس كروسفت - طريق التخصصي - الرحمانية', 'Beam crossfit', 'Interval Plus CrossFit - Al Wadi Male Branch / نادي انترفل بلس كروسفت - طريق ابو بكر الصديق - حي الوادي', 'Gym 2', 'Interval Plus CrossFit - Ar Rabi Female Branch / نادي انترفل بلس كروسفت - فرع النساء - طريق الملك عبدالعزيز حي الربيع', 'Interval Plus CrossFit - Khurais Male / نادي انترفل بلس كروسفت - فرع الرجال - طريق خريص الفرعي', 'Lionizer CrossFit', 'Interval Plus CrossFit - Khurais Ladies / نادي انترفل بلس كروسفت - فرع النساء - طريق خريص الفرعي']"
22,Valencia,ES,100,True,"['Crossfit Grau', 'CrossFit Gorgos', 'Nexo CrossFit', 'Full CrossFit Valencia - Benimaclet', 'CrossFit Mislata', 'CrossFit VLC', 'Speck CrossFit', 'CrossFit Valencia', 'MIBOX CrossFit', 'KTB CrossFit Vara de quart', 'Full CrossFit Valencia - La Patacona', 'Boga CrossFit', 'CrossTraining Valencia', 'CROSSFIT FOC', 'Box 015 Campanar', 'Planet Cross Box', 'CrossFit Northwest Paterna', 'CrossTrainig Valencia - Av. Puerto', 'Rebel box', 'HN Crossfit']"
23,Nantes,FR,100,True,"['CrossFit War Machine 1', 'CrossFit Rezé', 'CrossFit Naoned', 'Crossfit Human Project', 'CrossFit Gravity', 'Le Gymnase - HIIT et Crosstraining', 'CrossFit CFLS', 'CrossFit Colors', 'CrossFit War Machine 2', 'Athletic pro', 'Crossfit Rising Phoenix', 'CrossFit Bearwalk', 'Crossfit Ancenis', ""Fight'ness Gym"", 'christian gouy', 'TLFORME', 'FD Coaching', 'CrossFit Cholet', 'Crossfit Challans', 'Interval']"
24,Rome,IT,94,True,"['CrossFit Villa Albani', 'CrossFit FireStorm', 'CrossFit Trastevere', 'CrossFit FireStorm Ghoul', 'CrossFit Prati', 'CROSSFIT 00181', 'CrossFit Marconi', 'CrossFit Peak29', 'CrossFit Pietralata', 'CrossFit Parioli', 'CROSSFIT FLEMING', 'THC CrossFit & Gym', 'Eterna CrossFit', 'CrossFit Talenti', 'Appio CrossFit', 'CrossFit Box Monteverde', 'Indomitus CrossFit - Colli Albani', 'The Cave CrossFit Mandrione', 'CrossFit Nemeos', 'CrossFit Colli Portuensi']"
25,Manama,BH,85,True,"['CrossFit Muharraq', 'Crossfit Riffa +Gym', 'Madan Crossfit & Gym', 'The Forge', 'الاتحاد الرياضي للأمن العام', 'MR7 Crossfit', 'Unlimited Plus CrossFit', 'KBLOC FITNESS', 'Crossfit Muharraq - Dilmunia', 'Crossfit Riffa', 'UNLIMITED PLUS CROSSFIT', 'CrossFit Blacksmith', 'CrossFit Delmon', 'Berserkr Strength W.L.L.', 'Farrukh Fitness center', 'Power Fitness (Gym) Zone Juffair', 'Body Lab Fitness & Recovery', 'GYM', 'MADAN FITNESS CO.WLL', 'Jfc Crossfit']"
26,Sevilla,ES,100,True,"['CrossFit Sevilla', 'Crossfit Montequinto', 'CrossFit® Viapol', 'Crossfit Macarena box', 'Feel Crossfit', 'Crossfit Ozaru', 'Crossfit 41010 morgan box', 'Galaxy CrossFit', 'La Colmena CrossFit', 'MoMA CrossFit', 'Crossfit La Forja', 'CrossFit Urban Hero', 'Indian: Weightlifting & Fitness', 'CrossFit New Fitness RAW Sevilla', 'Capsule Box', 'CrossFit Dos Hermanas', ""Rookie's CrossFit Box"", 'Impulso Trainning', 'CrossFit SVQ', 'CrossFit RockHeart']"
27,Kuwait City,KW,89,True,"['CrossFit Q8', 'FDT', 'GRITQ8-Men gym, GRIT head quarter', 'CIRCUIT+ Megabox', 'Circuit Plus Bootcamp', 'Flare Fitness HQ', 'Crossfit Lab', 'Panther Fitness', 'Troop Gym', 'CrossFit BSK', 'CIRCUIT+ Bootcamp | Women', 'Spartan Kuwait Club', 'Flare Fitness Men Uptown', 'Concrete Gym', 'neon fitness', 'Circuit+ CrossFit Women', 'Crossfit FORMA', 'Solid Performance Gym', 'Tigers squad gym', 'Desert Fitness Men']"
28,Nice,FR,100,True,"['Crossfit XII', 'CrossFit Nice 2 - The Wolf Pack®', 'Crossfit Nice - The Wolf Pack®', 'CrossFit 1543', 'CrossFit H3', 'H4 Training', 'CrossFit Cagnes-sur-Mer', 'Crossfit', 'CrossFit Azur Arena', 'CROSSFIT XII VILLENEUVE LOUBET - NICE', 'CrossFit Cap Martin', 'SLV CROSSFIT Bodhi Top', 'BroBox', 'Crossfit Vallis Aurea', 'Menton CrossFit', 'CrossFit Céleris', 'CrossFit Mougins', 'Come And Play CAP CrossFit', 'CrossFit Cannes', 'CrossFit Antipolis']"
29,Abu Dhabi,AE,78,True,"['Jab CrossFit Zone', 'Alpha Strength', 'Vogue Fitness', 'Original Fitness Company', 'Powerlift Fitness', 'Two Friends Fitness Center', 'Perfect View Gym', 'The Sandbox CrossFit Saadiyat Abu Dhabi', 'Freelance Personal Fitness Coach/Trainer', 'كونست جيم Conquest fitness Centre (gym)', 'Layaqa GYM', 'BLITZ Khalidiyah Mall | Best HIIT Workout in Abu Dhabi', 'TUF fitness / crossfit', 'Black Belt Sports Center', 'Jungle fitness', 'VYBO Sports Contracting', 'gym', 'THE TRIP LES MILLS IMMERSIVE INDOOR CYCYLING', 'A', 'Bin Umaila']"
30,Porto,PT,0,True,"['CrossFit Durius', 'WOOW CrossFit', 'CrossFit OPO', 'CrossFit Foz', 'Nortada Crossfit', 'N14 Crossfit', 'Barra Norte Crossfit', 'CrossFit Leça do Balio', 'Crossfit Drop In', 'Crossfit Leça da Palmeira', 'oito-80 Functional Fitness', 'Castelo Box', 'Cross Training', 'The Camp HQ', 'Valverde CrossFit', 'SQUAD Porto', 'CUBO FITNESS', 'Crossfit Openbox', 'Crossup Performance', 'CrossFit 4475 Maia']"
